player_id,games_played,goals,assists,minutes_played,yellow_cards,red_cards,goals_per_game,minutes_per_game
246968,25,5,4,1122,4,0,0.2,44.9
248454,34,0,0,3060,0,0,0.0,90.0
248738,37,0,0,3285,3,0,0.0,88.8
248999,33,3,3,2044,4,0,0.091,61.9
249089,18,0,1,872,1,0,0.0,48.4
249513,28,0,0,1754,3,0,0.0,62.6
249565,25,0,4,1863,0,0,0.0,74.5
249636,29,1,1,2400,1,0,0.034,82.8
249730,27,2,0,2145,4,0,0.074,79.4
249994,23,0,0,2070,2,0,0.0,90.0
250153,16,0,1,300,0,0,0.0,18.8
250426,14,2,2,1147,3,0,0.143,81.9
250683,1,0,0,10,0,0,0.0,10.0
250779,29,1,4,2547,6,0,0.034,87.8
250845,16,0,1,1177,3,0,0.0,73.6
251075,34,1,2,2731,2,0,0.029,80.3
251106,23,1,0,214,1,0,0.043,9.3
251299,34,0,0,3060,1,0,0.0,90.0
251302,32,0,1,2269,2,0,0.0,70.9
251322,19,0,0,1619,1,0,0.0,85.2
251876,31,1,2,2672,10,0,0.032,86.2
251878,33,1,5,2161,2,0,0.03,65.5
252677,20,1,1,346,1,0,0.05,17.3
253677,17,0,1,1323,1,0,0.0,77.8
255488,7,0,0,514,0,0,0.0,73.4
255495,12,1,0,958,2,0,0.083,79.8
255501,11,0,0,600,2,0,0.0,54.5
255508,30,3,6,2168,2,0,0.1,72.3
255942,34,3,9,2533,7,0,0.088,74.5
256178,21,0,2,600,4,0,0.0,28.6
256267,37,23,1,3137,4,0,0.622,84.8
256339,34,0,0,3060,0,0,0.0,90.0
256448,36,4,2,3066,9,0,0.111,85.2
256678,5,0,0,315,0,0,0.0,63.0
257062,32,4,6,2108,3,0,0.125,65.9
257376,34,1,1,2929,12,0,0.029,86.1
257455,33,5,2,2198,8,0,0.152,66.6
257474,27,0,1,2430,0,0,0.0,90.0
257732,21,2,1,1800,3,0,0.095,85.7
257814,34,0,0,3060,3,0,0.0,90.0
258004,26,2,0,2140,3,0,0.077,82.3
258039,4,0,0,141,1,0,0.0,35.2
258364,18,0,0,786,3,0,0.0,43.7
258827,32,1,6,1952,3,0,0.031,61.0
258878,16,0,0,789,2,0,0.0,49.3
